table,informant,module,variable,layer,status,disorder,label,value_labels,admin_codes,derivative
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd_age,meta,,,"KSADS - Attention-Deficit/Hyperactivity Disorder [Parent]: Youth's age at data collection (Note: if table-specific date/time is missing, the age at visit start is used)",{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd_dtt,meta,,,KSADS - Attention-Deficit/Hyperactivity Disorder [Parent]: Date/time of collection start,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_001,item,,,Was there ever a time your child made a lot of careless mistakes?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_001__v01,item,,,Was there ever a time your child made a lot of careless mistakes?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_002,item,,,Was there ever a time when your child often forgot or tuned out what you or their teacher said to them?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_003,item,,,"Was there ever a time your child often did not follow instructions that a parent or teacher said to them, or instructions on an assignment or test?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_004,item,,,Was there ever a time your child had a lot of trouble organizing their homework or other tasks?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_005,item,,,Was there ever a time your child often put off or avoided doing things that were hard for them because they required a lot of attention?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_006,item,,,"Was there ever a time your child often lose their homework, pencils, jacket, cell phone, or anything else big or small?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_007,item,,,Was there ever a time your child often forgot things somewhere or forgot to do something they were supposed to do?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_008,item,,,Was there ever a time your child felt fidgety and it was hard for them to sit without bouncing their leg or getting up and moving around?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_009,item,,,Was there ever a time your child often ran or climbed when they weren't supposed to?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_010,item,,,Was there ever a time your child constantly were on the go and moving from one place to another?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_011,item,,,Was there ever a time when your child often had trouble being quiet when they were supposed to be?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_012,item,,,"Was there ever a time your child often blurted out answers at school without being called on, or blurted out answers when someone wasn't talking to them?","{""0"": ""No"", ""1"": ""Yes""}",,False
